,Year,Player,Tm,Age,Pos,college
9694,1989.0,Byron Scott,LAL,27.0,SG,Arizona State University
9695,1989.0,Rony Seikaly,MIA,23.0,C,Syracuse University
9696,1989.0,Brad Sellers,CHI,26.0,PF,Ohio State University
9697,1989.0,Charles Shackleford,NJN,22.0,C,North Carolina State University
9698,1989.0,John Shasky,MIA,24.0,C,University of Minnesota
9699,1989.0,Brian Shaw,BOS,22.0,SG,"University of California, Santa Barbara"
9700,1989.0,Purvis Short,HOU,31.0,SF,Jackson State University
9701,1989.0,Jerry Sichting,POR,32.0,PG,Purdue University
9702,1989.0,Jack Sikma,MIL,33.0,C,Illinois Wesleyan University
9703,1989.0,Scott Skiles,IND,24.0,PG,Michigan State University
9704,1989.0,Keith Smart,SAS,24.0,PG,Indiana University
9705,1989.0,Charles Smith,LAC,23.0,PF,University of Pittsburgh
9706,1989.0,Charles Smith,LAC,23.0,PF,Georgetown University
9707,1989.0,Charles Smith,LAC,23.0,PF,University of New Mexico
9708,1989.0,Derek Smith,TOT,27.0,SG,University of Louisville
9709,1989.0,Derek Smith,SAC,27.0,SG,University of Louisville
9710,1989.0,Derek Smith,PHI,27.0,SG,University of Louisville
9711,1989.0,Kenny Smith,SAC,23.0,PG,University of North Carolina
9712,1989.0,Larry Smith,GSW,31.0,PF,Alcorn State University
9713,1989.0,Otis Smith,GSW,25.0,SG,Jacksonville University
9714,1989.0,Rik Smits,IND,22.0,C,Marist College
9715,1989.0,Mike Smrek,SAS,26.0,PF,Canisius College
9716,1989.0,Rory Sparrow,MIA,30.0,PG,Villanova University
9717,1989.0,John Starks,GSW,23.0,SG,Oklahoma State University
9718,1989.0,Everette Stephens,IND,22.0,PG,Purdue University
9719,1989.0,Brook Steppe,POR,29.0,PG,Georgia Institute of Technology
9720,1989.0,John Stockton*,UTA,26.0,PG,
9721,1989.0,Rod Strickland,NYK,22.0,PG,DePaul University
9722,1989.0,John Stroeder,TOT,30.0,PF,University of Montana
9723,1989.0,John Stroeder,SAS,30.0,PF,University of Montana
9724,1989.0,John Stroeder,GSW,30.0,PF,University of Montana
9725,1989.0,Barry Sumpter,LAC,23.0,PF,Austin Peay State University
9726,1989.0,Jon Sundvold,MIA,27.0,SG,University of Missouri
9727,1989.0,Roy Tarpley,DAL,24.0,PF,University of Michigan
9728,1989.0,Anthony Taylor,MIA,23.0,PG,University of Oregon
9729,1989.0,Terry Teagle,GSW,28.0,SF,Baylor University
9730,1989.0,Reggie Theus,ATL,31.0,SG,"University of Nevada, Las Vegas"
9731,1989.0,Isiah Thomas*,DET,27.0,PG,
9732,1989.0,Bernard Thompson,HOU,26.0,PF,"California State University, Fresno"
9733,1989.0,Billy Thompson,MIA,25.0,SF,University of Louisville
9734,1989.0,LaSalle Thompson,TOT,27.0,C,University of Texas at Austin
9735,1989.0,LaSalle Thompson,SAC,27.0,C,University of Texas at Austin
9736,1989.0,LaSalle Thompson,IND,27.0,C,University of Texas at Austin
9737,1989.0,Mychal Thompson,LAL,34.0,C,University of Minnesota
9738,1989.0,Bob Thornton,PHI,26.0,PF,"University of California, Irvine"
9739,1989.0,Otis Thorpe,HOU,26.0,PF,Providence College
9740,1989.0,Sedale Threatt,SEA,27.0,PG,West Virginia University Institute of Technology
9741,1989.0,Wayman Tisdale,TOT,24.0,PF,University of Oklahoma
9742,1989.0,Wayman Tisdale,IND,24.0,PF,University of Oklahoma
9743,1989.0,Wayman Tisdale,SAC,24.0,PF,University of Oklahoma
9744,1989.0,Ray Tolbert,ATL,30.0,PF,Indiana University
9745,1989.0,Tom Tolbert,CHH,23.0,SF,University of Arizona
9746,1989.0,Sedric Toney,IND,26.0,PG,University of Dayton
9747,1989.0,Kelly Tripucka,CHH,29.0,SF,University of Notre Dame
9748,1989.0,Trent Tucker,NYK,29.0,SG,University of Minnesota
9749,1989.0,Andre Turner,MIL,24.0,PG,University of Memphis
9750,1989.0,Elston Turner,DEN,29.0,SF,University of Mississippi
9751,1989.0,Terry Tyler,DAL,32.0,SF,University of Detroit Mercy
9752,1989.0,Kelvin Upshaw,TOT,26.0,SG,University of Utah
9753,1989.0,Kelvin Upshaw,MIA,26.0,SG,University of Utah
9754,1989.0,Kelvin Upshaw,BOS,26.0,SG,University of Utah
9755,1989.0,Darnell Valentine,CLE,29.0,SG,University of Kansas
9756,1989.0,Kiki Vandeweghe,TOT,30.0,PF,"University of California, Los Angeles"
9757,1989.0,Kiki Vandeweghe,POR,30.0,PF,"University of California, Los Angeles"
9758,1989.0,Kiki Vandeweghe,NYK,30.0,PF,"University of California, Los Angeles"
9759,1989.0,Jay Vincent,TOT,29.0,SF,Michigan State University
9760,1989.0,Jay Vincent,DEN,29.0,SF,Michigan State University
